team,opponent,year,round,match_date,result,home_away,venue,crowd,score,margin
Melbourne Demons,St Kilda Saints,1987,4,1987-04-18,W,H,Melbourne Cricket Ground,25465.0,,47
North Melbourne Kangaroos,Geelong Cats,1987,4,1987-04-18,W,A,GMHBA Stadium,18628.0,,9
St Kilda Saints,Melbourne Demons,1987,4,1987-04-18,L,A,Melbourne Cricket Ground,25465.0,,-47
West Coast Eagles,Carlton Blues,1987,4,1987-04-18,L,A,Princes Park,20750.0,,-87
Brisbane Bears,Fitzroy Lions,1987,4,1987-04-19,L,H,People First Stadium,17795.0,,-15
Collingwood Magpies,Richmond Tigers,1987,4,1987-04-20,W,H,Waverley Park,36749.0,,10
Essendon Bombers,Sydney Swans,1987,4,1987-04-20,W,H,Windy Hill,24207.0,,47
North Melbourne Kangaroos,St Kilda Saints,1987,5,1987-04-24,W,H,Melbourne Cricket Ground,16078.0,,17
St Kilda Saints,North Melbourne Kangaroos,1987,5,1987-04-24,L,A,Melbourne Cricket Ground,16078.0,,-17
Carlton Blues,Essendon Bombers,1987,5,1987-04-25,W,H,Waverley Park,56124.0,,54
Collingwood Magpies,Western Bulldogs,1987,5,1987-04-25,W,H,Victoria Park,22059.0,,4
Essendon Bombers,Carlton Blues,1987,5,1987-04-25,L,A,Waverley Park,56124.0,,-54
Fitzroy Lions,Geelong Cats,1987,5,1987-04-25,L,A,GMHBA Stadium,18236.0,,-75
Geelong Cats,Fitzroy Lions,1987,5,1987-04-25,W,H,GMHBA Stadium,18236.0,,75
West Coast Eagles,Hawthorn Hawks,1987,5,1987-04-25,W,A,Princes Park,10588.0,,12
Brisbane Bears,Melbourne Demons,1987,5,1987-04-26,W,H,People First Stadium,7451.0,,5
Melbourne Demons,Brisbane Bears,1987,5,1987-04-26,L,A,People First Stadium,7451.0,,-5
Carlton Blues,Sydney Swans,1987,6,1987-05-01,L,A,Sydney Cricket Ground,33659.0,,-7
Collingwood Magpies,Brisbane Bears,1987,6,1987-05-02,W,H,Victoria Park,16712.0,,47
Essendon Bombers,Geelong Cats,1987,6,1987-05-02,D,H,Windy Hill,16042.0,,0
Geelong Cats,Essendon Bombers,1987,6,1987-05-02,D,A,Windy Hill,16042.0,,0
Melbourne Demons,Richmond Tigers,1987,6,1987-05-02,W,H,Melbourne Cricket Ground,18482.0,,41
St Kilda Saints,Western Bulldogs,1987,6,1987-05-02,L,A,Waverley Park,12834.0,,-44
Fitzroy Lions,Hawthorn Hawks,1987,6,1987-05-03,L,H,Melbourne Cricket Ground,18694.0,,-9
North Melbourne Kangaroos,West Coast Eagles,1987,6,1987-05-03,L,A,Domain Stadium,28543.0,,-74
West Coast Eagles,North Melbourne Kangaroos,1987,6,1987-05-03,W,H,Domain Stadium,28543.0,,74
Brisbane Bears,West Coast Eagles,1987,7,1987-05-08,L,A,WACA,25799.0,,-19
West Coast Eagles,Brisbane Bears,1987,7,1987-05-08,W,H,WACA,25799.0,,19
Carlton Blues,Geelong Cats,1987,7,1987-05-09,W,H,Waverley Park,31000.0,,56
Collingwood Magpies,Melbourne Demons,1987,7,1987-05-09,L,A,Melbourne Cricket Ground,49215.0,,-46
Essendon Bombers,Fitzroy Lions,1987,7,1987-05-09,L,A,Princes Park,14103.0,,-25
Fitzroy Lions,Essendon Bombers,1987,7,1987-05-09,W,H,Princes Park,14103.0,,25
Geelong Cats,Carlton Blues,1987,7,1987-05-09,L,A,Waverley Park,31000.0,,-56
Melbourne Demons,Collingwood Magpies,1987,7,1987-05-09,W,H,Melbourne Cricket Ground,49215.0,,46
St Kilda Saints,Richmond Tigers,1987,7,1987-05-09,W,H,People First Stadium,14909.0,,23
Fitzroy Lions,Sydney Swans,1987,8,1987-05-15,W,A,Sydney Cricket Ground,24358.0,,29
Collingwood Magpies,Essendon Bombers,1987,8,1987-05-16,L,H,Waverley Park,28085.0,,-26
Essendon Bombers,Collingwood Magpies,1987,8,1987-05-16,W,A,Waverley Park,28085.0,,26
Geelong Cats,Hawthorn Hawks,1987,8,1987-05-16,L,A,Princes Park,9382.0,,-47
Melbourne Demons,Western Bulldogs,1987,8,1987-05-16,L,H,Melbourne Cricket Ground,16325.0,,-24
St Kilda Saints,West Coast Eagles,1987,8,1987-05-16,W,H,People First Stadium,11537.0,,48
West Coast Eagles,St Kilda Saints,1987,8,1987-05-16,L,A,People First Stadium,11537.0,,-48
Western Bulldogs,Melbourne Demons,1987,8,1987-05-16,W,A,Melbourne Cricket Ground,16325.0,,24
Brisbane Bears,Richmond Tigers,1987,8,1987-05-17,W,H,People First Stadium,7943.0,,35
Carlton Blues,North Melbourne Kangaroos,1987,8,1987-05-17,W,A,Melbourne Cricket Ground,26684.0,,34
Brisbane Bears,Western Bulldogs,1987,9,1987-05-23,L,A,Western Oval,10873.0,,-32
Carlton Blues,Fitzroy Lions,1987,9,1987-05-23,W,H,Princes Park,26965.0,,22
Collingwood Magpies,St Kilda Saints,1987,9,1987-05-23,W,H,Victoria Park,20076.0,,6
Essendon Bombers,Hawthorn Hawks,1987,9,1987-05-23,L,A,Waverley Park,32634.0,,-114
Fitzroy Lions,Carlton Blues,1987,9,1987-05-23,L,A,Princes Park,26965.0,,-22
St Kilda Saints,Collingwood Magpies,1987,9,1987-05-23,L,A,Victoria Park,20076.0,,-6
Western Bulldogs,Brisbane Bears,1987,9,1987-05-23,W,H,Western Oval,10873.0,,32
Geelong Cats,Sydney Swans,1987,9,1987-05-24,W,H,GMHBA Stadium,24817.0,,25
Melbourne Demons,West Coast Eagles,1987,9,1987-05-24,L,A,Domain Stadium,23366.0,,-16
West Coast Eagles,Melbourne Demons,1987,9,1987-05-24,W,H,Domain Stadium,23366.0,,16
Carlton Blues,Brisbane Bears,1987,10,1987-05-30,W,H,Princes Park,13541.0,,103
Essendon Bombers,Melbourne Demons,1987,10,1987-05-30,L,H,Windy Hill,13796.0,,-22
Fitzroy Lions,Western Bulldogs,1987,10,1987-05-30,L,A,Western Oval,12722.0,,-33
Geelong Cats,Richmond Tigers,1987,10,1987-05-30,W,A,Melbourne Cricket Ground,16854.0,,21
Melbourne Demons,Essendon Bombers,1987,10,1987-05-30,W,A,Windy Hill,13796.0,,22
St Kilda Saints,Hawthorn Hawks,1987,10,1987-05-30,L,A,Waverley Park,15535.0,,-56
Western Bulldogs,Fitzroy Lions,1987,10,1987-05-30,W,H,Western Oval,12722.0,,33
Collingwood Magpies,West Coast Eagles,1987,10,1987-06-01,L,A,Domain Stadium,38274.0,,-57
West Coast Eagles,Collingwood Magpies,1987,10,1987-06-01,W,H,Domain Stadium,38274.0,,57
Essendon Bombers,St Kilda Saints,1987,11,1987-06-06,W,A,People First Stadium,23725.0,,15
St Kilda Saints,Essendon Bombers,1987,11,1987-06-06,L,H,People First Stadium,23725.0,,-15
West Coast Eagles,Western Bulldogs,1987,11,1987-06-06,L,A,Western Oval,15089.0,,-22
Western Bulldogs,West Coast Eagles,1987,11,1987-06-06,W,H,Western Oval,15089.0,,22
Brisbane Bears,Sydney Swans,1987,11,1987-06-07,L,H,People First Stadium,12036.0,,-73
Carlton Blues,Melbourne Demons,1987,11,1987-06-08,W,A,Melbourne Cricket Ground,49812.0,,45
Collingwood Magpies,Geelong Cats,1987,11,1987-06-08,L,A,Waverley Park,33150.0,,-5
Fitzroy Lions,Richmond Tigers,1987,11,1987-06-08,L,H,Princes Park,12152.0,,-26
Essendon Bombers,North Melbourne Kangaroos,1987,12,1987-06-12,L,A,Melbourne Cricket Ground,23944.0,,-36
Carlton Blues,St Kilda Saints,1987,12,1987-06-13,W,H,Princes Park,16238.0,,1
Collingwood Magpies,Fitzroy Lions,1987,12,1987-06-13,W,H,Victoria Park,17840.0,,26
Geelong Cats,West Coast Eagles,1987,12,1987-06-13,W,H,GMHBA Stadium,17504.0,,6
Melbourne Demons,Sydney Swans,1987,12,1987-06-13,L,H,Melbourne Cricket Ground,21696.0,,-36
St Kilda Saints,Carlton Blues,1987,12,1987-06-13,L,A,Princes Park,16238.0,,-1
West Coast Eagles,Geelong Cats,1987,12,1987-06-13,L,A,GMHBA Stadium,17504.0,,-6
Western Bulldogs,Richmond Tigers,1987,12,1987-06-13,W,A,Waverley Park,16279.0,,68
Brisbane Bears,Hawthorn Hawks,1987,12,1987-06-14,L,H,People First Stadium,7284.0,,-95
Fitzroy Lions,West Coast Eagles,1987,13,1987-06-19,L,A,WACA,13540.0,,-72
West Coast Eagles,Fitzroy Lions,1987,13,1987-06-19,W,H,WACA,13540.0,,72
Brisbane Bears,Essendon Bombers,1987,13,1987-06-20,L,A,Windy Hill,8724.0,,-37
Carlton Blues,Richmond Tigers,1987,13,1987-06-20,W,A,Melbourne Cricket Ground,15916.0,,16
Collingwood Magpies,North Melbourne Kangaroos,1987,13,1987-06-20,L,H,Waverley Park,17613.0,,-54
Essendon Bombers,Brisbane Bears,1987,13,1987-06-20,W,H,Windy Hill,8724.0,,37
Geelong Cats,Western Bulldogs,1987,13,1987-06-20,L,A,Western Oval,15749.0,,-39
Melbourne Demons,Hawthorn Hawks,1987,13,1987-06-20,W,A,Princes Park,7631.0,,13
Western Bulldogs,Geelong Cats,1987,13,1987-06-20,W,H,Western Oval,15749.0,,39
St Kilda Saints,Sydney Swans,1987,13,1987-06-21,L,A,Sydney Cricket Ground,17760.0,,-59
Collingwood Magpies,Sydney Swans,1987,14,1987-06-26,L,A,Sydney Cricket Ground,20133.0,,-27
Carlton Blues,Hawthorn Hawks,1987,14,1987-06-27,L,A,Waverley Park,44385.0,,-1
Essendon Bombers,Western Bulldogs,1987,14,1987-06-27,L,H,Windy Hill,17364.0,,-12
Geelong Cats,St Kilda Saints,1987,14,1987-06-27,W,H,GMHBA Stadium,13661.0,,71
Melbourne Demons,Fitzroy Lions,1987,14,1987-06-27,L,A,Princes Park,7544.0,,-48
St Kilda Saints,Geelong Cats,1987,14,1987-06-27,L,A,GMHBA Stadium,13661.0,,-71
West Coast Eagles,Richmond Tigers,1987,14,1987-06-27,L,A,Melbourne Cricket Ground,8926.0,,-4
Western Bulldogs,Essendon Bombers,1987,14,1987-06-27,W,A,Windy Hill,17364.0,,12
Essendon Bombers,West Coast Eagles,1987,15,1987-07-03,W,A,WACA,15740.0,,28
West Coast Eagles,Essendon Bombers,1987,15,1987-07-03,L,H,WACA,15740.0,,-28
Melbourne Demons,North Melbourne Kangaroos,1987,15,1987-07-04,L,H,Melbourne Cricket Ground,17108.0,,-2
North Melbourne Kangaroos,Melbourne Demons,1987,15,1987-07-04,W,A,Melbourne Cricket Ground,17108.0,,2
St Kilda Saints,Fitzroy Lions,1987,15,1987-07-04,W,H,People First Stadium,15201.0,,34
Western Bulldogs,Sydney Swans,1987,15,1987-07-04,L,H,Waverley Park,27075.0,,-33
Geelong Cats,Brisbane Bears,1987,15,1987-07-05,L,A,People First Stadium,9370.0,,-41
West Coast Eagles,Carlton Blues,1987,17,1987-07-10,W,H,WACA,21780.0,,3
Essendon Bombers,Richmond Tigers,1987,16,1987-07-11,W,H,Windy Hill,13593.0,,54
North Melbourne Kangaroos,Fitzroy Lions,1987,16,1987-07-11,W,H,Melbourne Cricket Ground,15244.0,,33
St Kilda Saints,Brisbane Bears,1987,16,1987-07-12,W,A,People First Stadium,9106.0,,28
Carlton Blues,Western Bulldogs,1987,16,1987-07-18,W,H,Princes Park,21388.0,,55
Collingwood Magpies,Hawthorn Hawks,1987,16,1987-07-18,L,H,Victoria Park,17370.0,,-125
Geelong Cats,North Melbourne Kangaroos,1987,17,1987-07-18,W,A,Melbourne Cricket Ground,20880.0,,97
Melbourne Demons,St Kilda Saints,1987,17,1987-07-18,L,A,Waverley Park,20354.0,,-46
North Melbourne Kangaroos,Geelong Cats,1987,17,1987-07-18,L,H,Melbourne Cricket Ground,20880.0,,-97
St Kilda Saints,Melbourne Demons,1987,17,1987-07-18,W,H,Waverley Park,20354.0,,46
Western Bulldogs,Carlton Blues,1987,16,1987-07-18,L,A,Princes Park,21388.0,,-55
West Coast Eagles,Sydney Swans,1987,16,1987-07-19,L,A,Sydney Cricket Ground,24199.0,,-130
Collingwood Magpies,Richmond Tigers,1987,17,1987-07-25,L,A,Melbourne Cricket Ground,17370.0,,-39
Geelong Cats,Melbourne Demons,1987,16,1987-07-25,L,A,Waverley Park,15253.0,,-40
Melbourne Demons,Geelong Cats,1987,16,1987-07-25,W,H,Waverley Park,15253.0,,40
Essendon Bombers,Sydney Swans,1987,17,1987-07-26,L,A,Sydney Cricket Ground,23009.0,,-163
Carlton Blues,Essendon Bombers,1987,18,1987-08-01,W,A,Waverley Park,29761.0,,1
Collingwood Magpies,Western Bulldogs,1987,18,1987-08-01,L,A,Western Oval,14514.0,,-11
Essendon Bombers,Carlton Blues,1987,18,1987-08-01,L,H,Waverley Park,29761.0,,-1
Geelong Cats,Fitzroy Lions,1987,18,1987-08-01,L,A,Princes Park,8434.0,,-42
Melbourne Demons,Brisbane Bears,1987,18,1987-08-01,W,H,Melbourne Cricket Ground,10307.0,,54
North Melbourne Kangaroos,St Kilda Saints,1987,18,1987-08-01,L,A,People First Stadium,18968.0,,-25
St Kilda Saints,North Melbourne Kangaroos,1987,18,1987-08-01,W,H,People First Stadium,18968.0,,25
Western Bulldogs,Collingwood Magpies,1987,18,1987-08-01,W,H,Western Oval,14514.0,,11
West Coast Eagles,Hawthorn Hawks,1987,18,1987-08-02,W,H,Domain Stadium,24502.0,,1
West Coast Eagles,North Melbourne Kangaroos,1987,19,1987-08-07,L,A,WACA,22540.0,,-11
Carlton Blues,Sydney Swans,1987,19,1987-08-08,W,H,Princes Park,31639.0,,68
Essendon Bombers,Geelong Cats,1987,19,1987-08-08,L,A,GMHBA Stadium,19103.0,,-27
Geelong Cats,Essendon Bombers,1987,19,1987-08-08,W,H,GMHBA Stadium,19103.0,,27
Melbourne Demons,Richmond Tigers,1987,19,1987-08-08,W,A,Melbourne Cricket Ground,15899.0,,19
St Kilda Saints,Western Bulldogs,1987,19,1987-08-08,W,H,People First Stadium,23080.0,,3
Western Bulldogs,St Kilda Saints,1987,19,1987-08-08,L,A,People First Stadium,23080.0,,-3
Brisbane Bears,Collingwood Magpies,1987,19,1987-08-09,L,H,People First Stadium,9166.0,,-23
Collingwood Magpies,Brisbane Bears,1987,19,1987-08-09,W,A,People First Stadium,9166.0,,23
Carlton Blues,Geelong Cats,1987,20,1987-08-15,W,A,GMHBA Stadium,22328.0,,68
Collingwood Magpies,Melbourne Demons,1987,20,1987-08-15,L,H,Victoria Park,16540.0,,-55
Essendon Bombers,Fitzroy Lions,1987,20,1987-08-15,W,H,Windy Hill,12466.0,,41
Geelong Cats,Carlton Blues,1987,20,1987-08-15,L,H,GMHBA Stadium,22328.0,,-68
Melbourne Demons,Collingwood Magpies,1987,20,1987-08-15,W,A,Victoria Park,16540.0,,55
St Kilda Saints,Richmond Tigers,1987,20,1987-08-15,L,A,Waverley Park,27589.0,,-76
Western Bulldogs,North Melbourne Kangaroos,1987,20,1987-08-15,D,A,Melbourne Cricket Ground,18921.0,,0
Brisbane Bears,West Coast Eagles,1987,20,1987-08-16,L,H,People First Stadium,4859.0,,-21
West Coast Eagles,Brisbane Bears,1987,20,1987-08-16,W,A,People First Stadium,4859.0,,21
Melbourne Demons,West Coast Eagles,1987,21,1987-08-21,W,H,Melbourne Cricket Ground,21048.0,,61
West Coast Eagles,Melbourne Demons,1987,21,1987-08-21,L,A,Melbourne Cricket Ground,21048.0,,-61
Carlton Blues,Fitzroy Lions,1987,21,1987-08-22,W,A,Princes Park,15729.0,,40
Essendon Bombers,Hawthorn Hawks,1987,21,1987-08-22,L,H,Waverley Park,27046.0,,-50
St Kilda Saints,Collingwood Magpies,1987,21,1987-08-22,W,H,People First Stadium,24335.0,,49
Brisbane Bears,Western Bulldogs,1987,21,1987-08-23,L,H,People First Stadium,5890.0,,-82
Geelong Cats,Sydney Swans,1987,21,1987-08-23,W,A,Sydney Cricket Ground,23953.0,,9
Western Bulldogs,Brisbane Bears,1987,21,1987-08-23,W,A,People First Stadium,5890.0,,82
Carlton Blues,North Melbourne Kangaroos,1987,22,1987-08-29,W,H,Waverley Park,30444.0,,4
Geelong Cats,Hawthorn Hawks,1987,22,1987-08-29,L,H,GMHBA Stadium,27030.0,,-3
Melbourne Demons,Western Bulldogs,1987,22,1987-08-29,W,A,Western Oval,31249.0,,15
Western Bulldogs,Melbourne Demons,1987,22,1987-08-29,L,H,Western Oval,31249.0,,-15
Collingwood Magpies,Essendon Bombers,1987,22,1987-08-30,W,A,Melbourne Cricket Ground,28887.0,,5
Essendon Bombers,Collingwood Magpies,1987,22,1987-08-30,L,H,Melbourne Cricket Ground,28887.0,,-5
St Kilda Saints,West Coast Eagles,1987,22,1987-08-30,L,A,Domain Stadium,17617.0,,-88
West Coast Eagles,St Kilda Saints,1987,22,1987-08-30,W,H,Domain Stadium,17617.0,,88
Melbourne Demons,North Melbourne Kangaroos,1987,EF,1987-09-06,W,H,Melbourne Cricket Ground,72628.0,,118
Carlton Blues,Hawthorn Hawks,1987,SF,1987-09-12,W,H,Waverley Park,64333.0,,15
Melbourne Demons,Sydney Swans,1987,SF,1987-09-13,W,H,Melbourne Cricket Ground,80292.0,,76
Melbourne Demons,Hawthorn Hawks,1987,PF,1987-09-19,L,A,Waverley Park,71298.0,,-2
Carlton Blues,Hawthorn Hawks,1987,GF,1987-09-26,W,H,Melbourne Cricket Ground,92754.0,,33
Carlton Blues,Hawthorn Hawks,1988,1,1988-04-02,W,H,Princes Park,27266.0,,15
Essendon Bombers,North Melbourne Kangaroos,1988,1,1988-04-02,W,H,Windy Hill,18410.0,,82
Geelong Cats,West Coast Eagles,1988,1,1988-04-02,L,H,GMHBA Stadium,20781.0,,-21
North Melbourne Kangaroos,Essendon Bombers,1988,1,1988-04-02,L,A,Windy Hill,18410.0,,-82
West Coast Eagles,Geelong Cats,1988,1,1988-04-02,W,A,GMHBA Stadium,20781.0,,21
Brisbane Bears,Collingwood Magpies,1988,1,1988-04-03,L,H,People First Stadium,11306.0,,-8
Collingwood Magpies,Brisbane Bears,1988,1,1988-04-03,W,A,People First Stadium,11306.0,,8
Melbourne Demons,Richmond Tigers,1988,1,1988-04-04,W,A,Melbourne Cricket Ground,34824.0,,46
Richmond Tigers,Melbourne Demons,1988,1,1988-04-04,L,H,Melbourne Cricket Ground,34824.0,,-46
St Kilda Saints,Fitzroy Lions,1988,1,1988-04-04,L,A,Princes Park,17609.0,,-22
Western Bulldogs,Sydney Swans,1988,1,1988-04-04,W,H,Waverley Park,18980.0,,26
Essendon Bombers,West Coast Eagles,1988,2,1988-04-08,L,A,WACA,24886.0,,-99
West Coast Eagles,Essendon Bombers,1988,2,1988-04-08,W,H,WACA,24886.0,,99
Brisbane Bears,Carlton Blues,1988,2,1988-04-09,L,A,Princes Park,15805.0,,-68
Carlton Blues,Brisbane Bears,1988,2,1988-04-09,W,H,Princes Park,15805.0,,68
Collingwood Magpies,Fitzroy Lions,1988,2,1988-04-09,W,H,Victoria Park,24314.0,,32
Fitzroy Lions,Collingwood Magpies,1988,2,1988-04-09,L,A,Victoria Park,24314.0,,-32
Geelong Cats,North Melbourne Kangaroos,1988,2,1988-04-09,W,A,Melbourne Cricket Ground,15233.0,,15
Melbourne Demons,Western Bulldogs,1988,2,1988-04-09,W,A,Western Oval,15693.0,,20
North Melbourne Kangaroos,Geelong Cats,1988,2,1988-04-09,L,H,Melbourne Cricket Ground,15233.0,,-15
Richmond Tigers,Hawthorn Hawks,1988,2,1988-04-09,L,A,Waverley Park,18082.0,,-85
Western Bulldogs,Melbourne Demons,1988,2,1988-04-09,L,H,Western Oval,15693.0,,-20
St Kilda Saints,Sydney Swans,1988,2,1988-04-10,L,A,Sydney Cricket Ground,9089.0,,-11
Carlton Blues,Essendon Bombers,1988,3,1988-04-16,W,A,Windy Hill,21472.0,,72
Collingwood Magpies,Richmond Tigers,1988,3,1988-04-16,W,A,Waverley Park,34444.0,,70
Essendon Bombers,Carlton Blues,1988,3,1988-04-16,L,H,Windy Hill,21472.0,,-72
Fitzroy Lions,Western Bulldogs,1988,3,1988-04-16,L,A,Western Oval,12783.0,,-51
Geelong Cats,Melbourne Demons,1988,3,1988-04-16,L,A,Melbourne Cricket Ground,30873.0,,-8
Melbourne Demons,Geelong Cats,1988,3,1988-04-16,W,H,Melbourne Cricket Ground,30873.0,,8
North Melbourne Kangaroos,St Kilda Saints,1988,3,1988-04-16,L,A,People First Stadium,16573.0,,-26
Richmond Tigers,Collingwood Magpies,1988,3,1988-04-16,L,H,Waverley Park,34444.0,,-70
St Kilda Saints,North Melbourne Kangaroos,1988,3,1988-04-16,W,H,People First Stadium,16573.0,,26
Western Bulldogs,Fitzroy Lions,1988,3,1988-04-16,W,H,Western Oval,12783.0,,51
Brisbane Bears,West Coast Eagles,1988,3,1988-04-17,L,H,WACA,16354.0,,-118
West Coast Eagles,Brisbane Bears,1988,3,1988-04-17,W,A,WACA,16354.0,,118
Brisbane Bears,Melbourne Demons,1988,4,1988-04-22,L,A,Melbourne Cricket Ground,18908.0,,-55
Melbourne Demons,Brisbane Bears,1988,4,1988-04-22,W,H,Melbourne Cricket Ground,18908.0,,55
Collingwood Magpies,West Coast Eagles,1988,4,1988-04-23,W,H,Victoria Park,26276.0,,39
Fitzroy Lions,Hawthorn Hawks,1988,4,1988-04-23,L,A,Princes Park,13205.0,,-14
North Melbourne Kangaroos,Western Bulldogs,1988,4,1988-04-23,W,H,Waverley Park,14948.0,,38
West Coast Eagles,Collingwood Magpies,1988,4,1988-04-23,L,A,Victoria Park,26276.0,,-39
Western Bulldogs,North Melbourne Kangaroos,1988,4,1988-04-23,L,A,Waverley Park,14948.0,,-38
Carlton Blues,Sydney Swans,1988,4,1988-04-24,W,A,Sydney Cricket Ground,16091.0,,86
Essendon Bombers,St Kilda Saints,1988,4,1988-04-25,W,A,People First Stadium,31679.0,,22
Geelong Cats,Richmond Tigers,1988,4,1988-04-25,W,A,Melbourne Cricket Ground,27417.0,,79
Richmond Tigers,Geelong Cats,1988,4,1988-04-25,L,H,Melbourne Cricket Ground,27417.0,,-79
St Kilda Saints,Essendon Bombers,1988,4,1988-04-25,L,H,People First Stadium,31679.0,,-22
West Coast Eagles,Western Bulldogs,1988,5,1988-04-29,W,H,WACA,17662.0,,7
Western Bulldogs,West Coast Eagles,1988,5,1988-04-29,L,A,WACA,17662.0,,-7
Brisbane Bears,St Kilda Saints,1988,5,1988-04-30,W,A,People First Stadium,15260.0,,9
Carlton Blues,Collingwood Magpies,1988,5,1988-04-30,L,H,Waverley Park,76354.0,,-28
Collingwood Magpies,Carlton Blues,1988,5,1988-04-30,W,A,Waverley Park,76354.0,,28
Essendon Bombers,Geelong Cats,1988,5,1988-04-30,L,A,GMHBA Stadium,23840.0,,-24
Fitzroy Lions,Richmond Tigers,1988,5,1988-04-30,L,H,Princes Park,8808.0,,-62
Geelong Cats,Essendon Bombers,1988,5,1988-04-30,W,H,GMHBA Stadium,23840.0,,24
North Melbourne Kangaroos,Hawthorn Hawks,1988,5,1988-04-30,L,H,Melbourne Cricket Ground,15438.0,,-77
St Kilda Saints,Brisbane Bears,1988,5,1988-04-30,L,H,People First Stadium,15260.0,,-9
Melbourne Demons,Sydney Swans,1988,5,1988-05-01,W,A,Sydney Cricket Ground,9269.0,,27
North Melbourne Kangaroos,West Coast Eagles,1988,6,1988-05-06,W,H,Melbourne Cricket Ground,10133.0,,13
West Coast Eagles,North Melbourne Kangaroos,1988,6,1988-05-06,L,A,Melbourne Cricket Ground,10133.0,,-13
Carlton Blues,St Kilda Saints,1988,6,1988-05-07,W,H,Princes Park,15617.0,,40
Collingwood Magpies,Hawthorn Hawks,1988,6,1988-05-07,L,H,Waverley Park,53184.0,,-2
Essendon Bombers,Melbourne Demons,1988,6,1988-05-07,W,A,Melbourne Cricket Ground,34697.0,,33
Melbourne Demons,Essendon Bombers,1988,6,1988-05-07,L,H,Melbourne Cricket Ground,34697.0,,-33
Richmond Tigers,Western Bulldogs,1988,6,1988-05-07,L,A,Western Oval,12374.0,,-45
St Kilda Saints,Carlton Blues,1988,6,1988-05-07,L,A,Princes Park,15617.0,,-40
Western Bulldogs,Richmond Tigers,1988,6,1988-05-07,W,H,Western Oval,12374.0,,45
Fitzroy Lions,Brisbane Bears,1988,6,1988-05-08,L,A,People First Stadium,9981.0,,-2
Geelong Cats,Sydney Swans,1988,6,1988-05-08,L,H,GMHBA Stadium,19132.0,,-3
St Kilda Saints,West Coast Eagles,1988,7,1988-05-13,L,A,WACA,12803.0,,-76
West Coast Eagles,St Kilda Saints,1988,7,1988-05-13,W,H,WACA,12803.0,,76
Carlton Blues,Geelong Cats,1988,7,1988-05-14,L,A,Waverley Park,26372.0,,-11
Collingwood Magpies,Essendon Bombers,1988,7,1988-05-14,L,A,Windy Hill,24224.0,,-44
Essendon Bombers,Collingwood Magpies,1988,7,1988-05-14,W,H,Windy Hill,24224.0,,44
Fitzroy Lions,Sydney Swans,1988,7,1988-05-14,W,H,Princes Park,8394.0,,39
Geelong Cats,Carlton Blues,1988,7,1988-05-14,W,H,Waverley Park,26372.0,,11
Melbourne Demons,Hawthorn Hawks,1988,7,1988-05-14,W,H,Melbourne Cricket Ground,34773.0,,21
North Melbourne Kangaroos,Richmond Tigers,1988,7,1988-05-15,W,A,Melbourne Cricket Ground,12880.0,,77
Richmond Tigers,North Melbourne Kangaroos,1988,7,1988-05-15,L,H,Melbourne Cricket Ground,12880.0,,-77
Western Bulldogs,Brisbane Bears,1988,7,1988-05-15,L,A,People First Stadium,10898.0,,-1
Carlton Blues,North Melbourne Kangaroos,1988,8,1988-05-21,W,H,Waverley Park,22978.0,,13
Collingwood Magpies,Western Bulldogs,1988,8,1988-05-21,W,H,Victoria Park,22731.0,,6
Essendon Bombers,Richmond Tigers,1988,8,1988-05-21,W,H,Windy Hill,14568.0,,48
Fitzroy Lions,Melbourne Demons,1988,8,1988-05-21,L,H,Princes Park,12747.0,,-26
Melbourne Demons,Fitzroy Lions,1988,8,1988-05-21,W,A,Princes Park,12747.0,,26
North Melbourne Kangaroos,Carlton Blues,1988,8,1988-05-21,L,A,Waverley Park,22978.0,,-13
Richmond Tigers,Essendon Bombers,1988,8,1988-05-21,L,A,Windy Hill,14568.0,,-48
Western Bulldogs,Collingwood Magpies,1988,8,1988-05-21,L,A,Victoria Park,22731.0,,-6
Geelong Cats,St Kilda Saints,1988,8,1988-05-22,L,H,GMHBA Stadium,20366.0,,-6
Hawthorn Hawks,West Coast Eagles,1988,8,1988-05-22,W,A,Domain Stadium,27344.0,,53
St Kilda Saints,Geelong Cats,1988,8,1988-05-22,W,A,GMHBA Stadium,20366.0,,6
West Coast Eagles,Hawthorn Hawks,1988,8,1988-05-22,L,H,Domain Stadium,27344.0,,-53
Brisbane Bears,Essendon Bombers,1988,9,1988-05-27,L,A,Melbourne Cricket Ground,26653.0,,-140
Essendon Bombers,Brisbane Bears,1988,9,1988-05-27,W,H,Melbourne Cricket Ground,26653.0,,140
Collingwood Magpies,North Melbourne Kangaroos,1988,9,1988-05-28,W,A,Waverley Park,28849.0,,48
Fitzroy Lions,Geelong Cats,1988,9,1988-05-28,L,A,GMHBA Stadium,13968.0,,-33
Geelong Cats,Fitzroy Lions,1988,9,1988-05-28,W,H,GMHBA Stadium,13968.0,,33
